Mapping_ID_Emp_Id,Skillset,Skill_Id
264,perfecto mobile testing,798
264,rbm,799
266,plsql,800
266,scrum developer,801
269,blue prism,802
269,autohotkey,803
270,responsive web design,804
270,json,805
270,yii,806
271,big data hadoop,807
271,coldfusion,808
273,certified scrum master,809
273,automation testing using selenium with python,810
273,e2e test management,811
273,telecom business analyst,812
274,see 1 endorsement for vendor management,813
274,1,814
274,aireen grace santiago,815
274,network engineering,816
275,social media,817
275,content writing,818
276,oracle applications,819
276,sql loader,820
276,sql pl,821
276,sql*plus,822
276,toad,823
276,oracle reports,824
276,oracle database administration,825
277,oozie,826
278,front-end development,827
279,critical thinking,828
279,soap ui,829
279,teaching,830
281,rpa tools (uipath),831
281,rpa tools,832
282,defect tracking,833
282,manual test execution,834
282,alm,835
284,salesforce platform developer,836
286,angular command line interface (cli),837
286,basics of node js,838
286,sass,839
287,photoshop,840
290,j2ee web services,841
290,jsp,842
292,vmware,843
292,infrastructure,844
292,itil certified,845
293,web application development,846
295,hdfs,847
299,ionic framework,848
302,pki,849
302,outlook,850
303,blogging,851
303,testcomplete,852
303,tekerik test studio,853
305,invoicing,854
305,perl,855
305,perl script,856
305,soap,857
305,apache,858
305,singl.eview,859
307,django,860
309,training delivery,861
309,retail banking,862
309,business process design,863
309,sales presentations,864
309,hands-on training,865
309,retail banking operations,866
309,coaching,867
309,instructor-led training,868
309,organizational development,869
309,training & development,870
309,workshop facilitation,871
309,functional consulting,872
309,client facing skills,873
309,credit banking operations,874
310,b2b marketing,875
310,marketing management,876
310,b2c marketing,877
315,software defined networking,878
316,c programming,879
317,defect management,880
319,extract,881
319,transform,882
319,load (etl),883
319,scala,884
321,automation anywhere,885
321,chatbot development,886
321,powershell,887
323,codeigniter,888
323,express.js,889
323,cakephp,890
323,gitlab,891
323,phonegap,892
324,ajax,893
325,mobile applications,894
325,agile & waterfall methodologies,895
325,scrum,896
325,rest api,897
325,nativescript,898
325,asp.net web api,899
325,software design patterns,900
326,social media optimization (smo),901
329,kenan,902
331,devops,903
332,github,904
332,tfs,905
332,team foundation server (tfs),906
332,kentico cms,907
332,kentico,908
332,unfuddle,909
333,software engineering,910
333,wcf services,911
335,ms visio,912
335,powerpoint development,913
337,techcinal project management,914
337,telecom domain,915
338,hands-on in- grafana tool,916
339,angular 7,917
340,spring,918
343,pipelines,919
343,google cloud platform (gcp),920
343,google kubernetes engine (gke),921
347,marketing analytics,922
347,secondary research,923
347,proposal management,924
348,synchronous digital hierarchy (sdh),925
350,microsoft project,926
352,dialogflow,927
358,cognos,928
359,budget management,929
359,media buying,930
359,strategic business planning,931
359,staff management,932
359,employee training,933
359,staff development,934
359,stakeholder relationship management,935
359,customer presentations,936
359,job costing,937
359,resource planning,938
360,content management,939
360,web content writing,940
360,newsletter writing,941
360,brochures,942
360,writing,943
360,proofreading,944
360,web writing,945
