Skill_Id,Skillset
750,students chairman - electrical and electronics department
751,uml
752,service assurance
753,revenue assurance
754,oracle soa suite
755,adobe xd
756,adobe lightroom
757,internet of thing
758,administration
759,event management
760,excel
761,lotus notes
762,job diva
763,internet
764,sap abab
765,team coordination
766,nextgen
767,email clients
768,headhunting
769,staff augmentation
770,job descriptions
771,temporary staffing
772,search
773,salary negotiation
774,coordination
775,ibm watson
776,ticketing tools
777,application support
778,order processing
779,project life cycle
780,product customization cycle
781,tcp/ip
782,dhcp
783,software documentation
784,vendor management
785,spreadsheets
786,office 365
787,active listening
788,time management
789,virtual office
790,mobile testing
791,test automation tools
792,ivr
793,icoms
794,cyara automation testing
795,ecommerce testing
796,telecom oss/bss testing
797,salesforce testing
798,perfecto mobile testing
799,rbm
800,plsql
801,scrum developer
802,blue prism
803,autohotkey
804,responsive web design
805,json
806,yii
807,big data hadoop
808,coldfusion
809,certified scrum master
810,automation testing using selenium with python
811,e2e test management
812,telecom business analyst
813,see 1 endorsement for vendor management
814,1
815,aireen grace santiago
816,network engineering
817,social media
818,content writing
819,oracle applications
820,sql loader
821,sql pl
822,sql*plus
823,toad
824,oracle reports
825,oracle database administration
826,oozie
827,front-end development
828,critical thinking
829,soap ui
830,teaching
831,rpa tools (uipath)
832,rpa tools
833,defect tracking
834,manual test execution
835,alm
836,salesforce platform developer
837,angular command line interface (cli)
838,basics of node js
839,sass
840,photoshop
841,j2ee web services
842,jsp
843,vmware
844,infrastructure
845,itil certified
846,web application development
847,hdfs
848,ionic framework
849,pki
850,outlook
851,blogging
852,testcomplete
853,tekerik test studio
854,invoicing
855,perl
856,perl script
857,soap
858,apache
859,singl.eview
860,django
861,training delivery
862,retail banking
863,business process design
864,sales presentations
865,hands-on training
866,retail banking operations
867,coaching
868,instructor-led training
869,organizational development
870,training & development
871,workshop facilitation
872,functional consulting
873,client facing skills
874,credit banking operations
875,b2b marketing
876,marketing management
877,b2c marketing
878,software defined networking
879,c programming
880,defect management
881,extract
882,transform
883,load (etl)
884,scala
885,automation anywhere
886,chatbot development
887,powershell
888,codeigniter
889,express.js
890,cakephp
891,gitlab
892,phonegap
893,ajax
894,mobile applications
895,agile & waterfall methodologies
896,scrum
897,rest api
898,nativescript
899,asp.net web api
900,software design patterns
901,social media optimization (smo)
902,kenan
903,devops
904,github
905,tfs
906,team foundation server (tfs)
907,kentico cms
908,kentico
909,unfuddle
910,software engineering
911,wcf services
912,ms visio
913,powerpoint development
914,techcinal project management
915,telecom domain
916,hands-on in- grafana tool
917,angular 7
918,spring
919,pipelines
920,google cloud platform (gcp)
921,google kubernetes engine (gke)
922,marketing analytics
923,secondary research
924,proposal management
925,synchronous digital hierarchy (sdh)
926,microsoft project
927,dialogflow
928,cognos
929,budget management
930,media buying
931,strategic business planning
932,staff management
933,employee training
934,staff development
935,stakeholder relationship management
936,customer presentations
937,job costing
938,resource planning
939,content management
940,web content writing
941,newsletter writing
942,brochures
943,writing
944,proofreading
945,web writing
946,proof reading
947,seo optimization
948,hindi
949,malayalam
950,search engine visibility
951,business writing
952,newsletter content management
953,social media/blog writing
954,database testing
955,certified black belt
956,agile scrum master
957,lean practionaire
958,quality professional
959,training expert
960,functional requirements
961,broadband networks
962,job scheduling
963,ms sql
964,system integration testing
965,es6
966,blockchain
967,solidity
968,performance tuning
969,oracle 9i
970,oracle 11g
971,oracle 10g
972,sql tuning
973,ansible
974,ubuntu
975,shell scripts
976,microcontrollers
977,simulations
978,scada
979,vhdl
980,operating systems
981,itsm
982,client services
983,service desk management
984,critical incident stress management
985,major incident management
986,it infrastructure management
987,pdh
988,ethernet over sdh
989,atm networks
990,cramer
991,metasolv
992,test cases
993,agile testing
994,system testing
995,performance testing
996,pega prpc
997,itil operations
998,service management
999,offshore operations
1000,test strategy
1001,process management
1002,order fulfillment
1003,it & business strategy alignment
1004,system monitoring
1005,content marketing
1006,public relations
1007,media relations
1008,analyst relations
1009,client relationship building
1010,business consulting
1011,product strategy
1012,selenium testing
1013,qa manual testing
1014,strategic planning skills
1015,strong analytical skills
1016,problem solving skills
1017,auto hot key
1018,people development
1019,component testing
1020,api testing
1021,defect life cycle
1022,report preparation
1023,test design
1024,wordpress
1025,drawing
1026,painting
1027,html 5
1028,joomla
1029,lamp
1030,jquery ui
1031,magento
1032,moodle
1033,opencart
1034,html
1035,css and javascript
1036,php & mysql
1037,poem writting
1038,data entry
1039,program development
1040,netbeans
1041,microsoft azure
1042,enterprise javabeans (ejb)
1043,ooad
1044,object-relational mapping (orm)
1045,peer mentoring
1046,zoho creator
1047,sun certified java programmer
1048,nx
1049,storybook
1050,jmeter
1051,apm
1052,cisco certified network professional
1053,obrm
1054,app
1055,storage
1056,storage area network (san)
1057,emc storage
1058,virtualization
